max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,Year_of_Release,artist,category,designer,expansion,publisher,average_rating,users_rated,principal_category,secondary_category,other_category,WeightedAverage
4,60,12,2,40,Master of Orion: The Board Game,60,2016,unknown,"Card Game,Economic,Science Fiction","Ekaterina Gorn,Igor Sklyuev",yes,"Cryptozoic Entertainment,Hobby World,REBEL.pl",6.97198,192,Card Game,Economic,Science Fiction,6.540187639773155
4,35,12,2,35,The Golden Sails,35,2016,Sergey Dulin,"Card Game,Fantasy",Yuri Zhuravlev,no,Hobby World,7.0493,71,Card Game,Fantasy,,6.4583012026672915
4,180,11,2,60,Captains of the Golden Age,180,2016,unknown,"Adventure,Exploration,Nautical,Pirates,Travel","Aron Groot,Niek Jansma",yes,Golden Age Games,7.35303,66,Adventure,Exploration,"Nautical,Pirates,Travel",6.488497644386967
4,60,12,2,20,Dwar7s Fall,60,2016,Luís Brüeh,"Fantasy,Territory Building",Luís Brüeh,yes,"Mysterious Island Games,Vesuvius Media",7.20937,176,Fantasy,Territory Building,,6.591773382726366
5,60,8,2,60,Dastardly Dirigibles,60,2016,Jeff Porter,Card Game,Justin De Witt,yes,Fireside Games,6.58404,166,Card Game,,,6.426637127211747
2,45,0,2,30,Neolithic,45,2016,John Ariosa,"Card Game,Civilization,Prehistoric",John Clowdus,yes,Small Box Games,7.4926,192,Card Game,Civilization,Prehistoric,6.684637119541941
4,40,9,2,20,Mutant Crops,40,2016,Rocio Ogñenovich,"Economic,Environmental",Sebastian Koziner,no,"Atheris Games,El Dragón Azul,OK Ediciones",7.646,50,Economic,Environmental,,6.489981248587315
4,30,12,2,15,Android: Mainframe,30,2016,unknown,Abstract Strategy,"Jordi Gené,Gregorio Morales",no,"Fantasy Flight Games,Edge Entertainment,Galakta,Heidelberger Spieleverlag",6.88611,723,Abstract Strategy,,,6.67689878718154
4,100,12,2,70,The Oracle of Delphi,100,2016,Dennis Lohausen,"Ancient,Mythology",Stefan Feld,yes,"999 Games,Cranio Creations,Fullcap Games,Hall Games,LudoSentinel,Matagot,Pegasus Spiele,Tasty Minstrel Games",7.47642,1571,Ancient,Mythology,,7.210355145689533
8,90,10,3,90,Escape the Room: Mystery at the Stargazer's Manor,90,2016,Erwin Madrid,Party Game,"Rebecca Bleau,Nicholas Cravotta",no,"HCM Kinzel,Mercurio,ThinkFun",6.72471,558,Party Game,,,6.559147322044446
10,90,18,3,30,Joking Hazard,90,2016,unknown,"Card Game,Comic Book / Strip,Humor,Mature / Adult,Party Game",unknown,yes,Breaking Games,6.71153,1026,Card Game,Comic Book / Strip,"Humor,Mature / Adult,Party Game",6.601061249490841
5,0,8,2,30,Bohemian Villages,0,2016,"Klemens Franz,Andrea Kattnig",Dice,Reiner Stockhausen,yes,dlp games,6.3402,301,Dice,,,6.361535439104898
5,100,12,2,40,The Red Dragon Inn: Battle for Greyport,100,2016,Erin Wong,Fantasy,"Nate Heiss,Jeff Morrow,Sam Waller",no,SlugFest Games,7.3554,139,Fantasy,,,6.5877782264836044
2,30,12,2,20,Agamemnon,30,2016,"José Daniel Cabrera Peña,Rocío Espín Piñar","Abstract Strategy,Ancient",Günter Cornett,no,Osprey Games,7.15099,138,Abstract Strategy,Ancient,,6.542360982324488
6,60,12,3,45,Let Them Eat Cake,60,2016,"Lauren ""Iguanamouth"" Dawson","Bluffing,Card Game,Humor,Napoleonic,Negotiation,Party Game,Political",Peer Sylvester,no,Osprey Games,6.21638,69,Bluffing,Card Game,"Humor,Napoleonic,Negotiation,Party Game,Political",6.355219519724119
6,120,13,1,90,Star Trek Panic,120,2016,unknown,"Movies / TV / Radio theme,Science Fiction",Justin De Witt,yes,"Fireside Games,USAopoly",7.35424,708,Movies / TV / Radio theme,Science Fiction,,6.948668548611773
4,150,12,2,75,Great Western Trail,150,2016,Andreas Resch,American West,Alexander Pfister,yes,"eggertspiele,999 Games,Delta Vision Publishing,Ediciones MasQueOca,Gigamic,Lacerta,Ludicus,Pegasus Spiele,Stronghold Games,uplay.it edizioni",8.26775,4782,American West,,,8.088521428762405
5,90,10,2,45,Jórvík,90,2016,Marc Margielsky,unknown,Stefan Feld,no,"Conclave Editora,Ediciones MasQueOca,eggertspiele,hobbity.eu,Pegasus Spiele,Piatnik,Stronghold Games,uplay.it edizioni",6.92801,482,,,,6.6461206789440155
2,120,12,2,80,Basketball Age,120,2016,Gonzo Bríos,Sports,Eduardo Crespo,no,Lucky loser,7.824,50,Sports,,,6.506163066769133
8,60,10,2,60,The Dragon & Flagon,60,2016,William Bricker,"Fantasy,Fighting,Humor","Brian Engelstein,Geoff Engelstein,Sydney Engelstein",yes,Stronghold Games,6.68333,621,Fantasy,Fighting,Humor,6.545528650065141
7,420,12,3,300,1822: The Railways of Great Britain,420,2016,unknown,"Economic,Trains,Transportation",Simon Cutforth,no,All-Aboard Games,8.36365,55,Economic,Trains,Transportation,6.571514300401844
5,90,12,2,60,Vanuatu (second edition),90,2016,Konstantin Vohwinkel,"Deduction,Economic,Exploration,Nautical",Alain Epron,no,Quined Games,7.6716,307,Deduction,Economic,"Exploration,Nautical",6.867869748107836
3,180,14,3,90,Star Trek: Ascendancy,180,2016,"Katie Dillon,Charles Woods","Civilization,Exploration,Movies / TV / Radio theme,Negotiation,Science Fiction,Space Exploration,Territory Building,Wargame","Aaron Dill,John Kovaleski,Sean Sweigart",yes,"Gale Force Nine, LLC,Heidelberger Spieleverlag",7.81884,762,Civilization,Exploration,"Movies / TV / Radio theme,Negotiation,Science Fiction,Space Exploration,Territory Building,Wargame",7.246549735913648
4,120,14,1,120,Mistfall: Heart of the Mists,120,2016,"Enggar Adirasa,Agnieszka Kopera","Adventure,Card Game,Fantasy",Błażej Kubacki,yes,"Asmodee,Heidelberger Spieleverlag,NSKN Games",7.86958,119,Adventure,Card Game,Fantasy,6.661825051248826
5,45,8,2,30,Costa Rica,45,2016,Klemens Franz,Exploration,"Matthew Dunstan,Brett J. Gilbert",no,"Lookout Games,Mayfair Games,GoKids 玩樂小子",6.29732,331,Exploration,,,6.343685447320124
